TradeID,Amount,Currency,Product,Country,SettlementType,Priority,Owner
1001,22409,EUR,ETF,France,T+3,Low,Keerthana
1002,22347,INR,ETF,France,T+1,Medium,Keerthana
1003,37141,EUR,Bond,Germany,T+1,Low,Revathi
1004,26302,INR,Equity,Germany,T+3,Low,Bharath
1005,38805,INR,ETF,USA,T+3,High,Harish
1006,15067,EUR,Equity,Germany,T+1,High,Bharath
1007,24351,INR,Bond,UK,T+3,Low,Manoj
1008,8950,GBP,Bond,Germany,T+3,Low,Revathi
1009,43818,INR,Equity,France,T+3,Low,Naveen
1010,47219,USD,Equity,India,T+3,High,Naren
1011,23849,GBP,Derivative,UK,T+3,Low,Kavya
1012,47995,GBP,ETF,UK,T+3,High,Vignesh
1013,22321,EUR,Derivative,India,T+1,Low,Akhil
1014,18565,INR,Bond,USA,T+3,Low,Arun
1015,45478,GBP,ETF,Germany,T+2,High,Priya
1016,47046,EUR,Derivative,Germany,T+1,High,Karthik
1017,49397,GBP,ETF,UK,T+3,Low,Vignesh
1018,31770,INR,Bond,India,T+2,High,Sneha
1019,37789,EUR,Bond,France,T+1,Low,Divya
1020,7626,EUR,Bond,India,T+1,High,Sneha
1021,49658,USD,ETF,UK,T+2,Low,Vignesh
1022,33641,GBP,Derivative,UK,T+1,Medium,Kavya
1023,46298,GBP,Equity,France,T+1,High,Naveen
1024,11124,GBP,ETF,Germany,T+2,High,Priya
1025,25425,GBP,ETF,UK,T+2,High,Vignesh
1026,25358,EUR,Bond,UK,T+2,Medium,Manoj
1027,27757,INR,ETF,USA,T+3,High,Harish
1028,37293,GBP,Equity,India,T+2,Medium,Naren
1029,47520,EUR,Derivative,France,T+2,Medium,Gayathri
1030,12201,USD,Bond,India,T+1,Low,Sneha
1031,19348,INR,ETF,UK,T+3,Low,Vignesh
1032,24455,INR,Equity,UK,T+1,Low,Suren
1033,29350,EUR,Bond,USA,T+3,High,Arun
1034,31996,INR,Equity,India,T+1,Low,Naren
1035,39922,GBP,Bond,India,T+1,High,Sneha
1036,26626,INR,Equity,Germany,T+2,High,Bharath
1037,42968,USD,ETF,France,T+2,Low,Keerthana
1038,43302,EUR,Bond,Germany,T+3,Low,Revathi
1039,23900,USD,Bond,India,T+1,Low,Sneha
1040,29485,INR,ETF,USA,T+1,Low,Harish
1041,43806,EUR,ETF,France,T+3,Medium,Keerthana
1042,32359,USD,Equity,France,T+1,Medium,Naveen
1043,18866,GBP,Equity,UK,T+2,Medium,Suren
1044,18313,USD,Equity,Germany,T+3,Medium,Bharath
1045,46783,USD,Bond,India,T+3,Low,Sneha
1046,34474,GBP,ETF,UK,T+1,Low,Vignesh
1047,42548,USD,Derivative,USA,T+1,Low,Deepak
1048,36945,EUR,Derivative,UK,T+2,Medium,Kavya
1049,25989,EUR,ETF,Germany,T+1,Medium,Priya
1050,43203,USD,ETF,India,T+2,Low,Rahul
1051,22626,INR,ETF,USA,T+3,Low,Harish
1052,42890,INR,ETF,Germany,T+2,Medium,Priya
1053,46554,EUR,Derivative,UK,T+1,Low,Kavya
1054,9287,USD,ETF,Germany,T+2,High,Priya
1055,24281,INR,Bond,USA,T+1,Medium,Arun
1056,45652,USD,ETF,Germany,T+1,High,Priya
1057,38463,USD,Derivative,France,T+1,Low,Gayathri
1058,30487,EUR,Derivative,Germany,T+3,Medium,Karthik
1059,29126,GBP,Bond,Germany,T+1,High,Revathi
1060,8308,EUR,ETF,UK,T+1,Low,Vignesh
1061,35023,EUR,ETF,Germany,T+3,Medium,Priya
1062,12200,USD,Bond,UK,T+2,Medium,Manoj
1063,33321,EUR,Bond,India,T+2,Medium,Sneha
1064,30035,USD,Derivative,USA,T+2,High,Deepak
1065,27834,INR,Equity,Germany,T+3,Low,Bharath
1066,28165,USD,Derivative,USA,T+2,High,Deepak
1067,30340,USD,Equity,France,T+3,Low,Naveen
1068,16599,INR,ETF,UK,T+2,High,Vignesh
1069,18365,GBP,Bond,Germany,T+2,High,Revathi
1070,16899,EUR,Bond,USA,T+1,High,Arun
1071,36207,EUR,Derivative,USA,T+3,High,Deepak
1072,40027,USD,Equity,Germany,T+3,High,Bharath
1073,31654,INR,Derivative,India,T+1,Low,Akhil
1074,25008,GBP,Equity,UK,T+2,Medium,Suren
1075,27962,INR,ETF,UK,T+2,Low,Vignesh
1076,33142,GBP,Equity,USA,T+1,Low,Pradeep
1077,24394,USD,Equity,France,T+3,Low,Naveen
1078,11106,INR,Bond,France,T+2,Low,Divya
1079,33409,EUR,ETF,UK,T+3,High,Vignesh
1080,31805,INR,ETF,UK,T+3,High,Vignesh
1081,16308,USD,Bond,India,T+2,High,Sneha
1082,22155,INR,ETF,USA,T+1,Low,Harish
1083,33135,USD,ETF,Germany,T+3,Low,Priya
1084,40569,EUR,Bond,India,T+1,Low,Sneha
1085,9364,USD,Equity,Germany,T+3,Medium,Bharath
1086,18263,EUR,Equity,Germany,T+1,Low,Bharath
1087,20892,EUR,ETF,France,T+2,High,Keerthana
1088,33258,USD,Derivative,UK,T+3,High,Kavya
1089,46427,EUR,Equity,France,T+2,High,Naveen
1090,12202,USD,Derivative,France,T+3,Medium,Gayathri
1091,23234,USD,ETF,Germany,T+1,High,Priya
1092,21774,INR,Derivative,UK,T+2,High,Kavya
1093,23969,GBP,Bond,UK,T+3,Medium,Manoj
1094,44376,EUR,Bond,USA,T+1,Medium,Arun
1095,31450,INR,Bond,USA,T+1,Low,Arun
1096,46797,INR,Equity,France,T+1,Medium,Naveen
1097,8776,INR,Bond,Germany,T+2,High,Revathi
1098,22840,INR,ETF,USA,T+3,High,Harish
1099,14461,USD,Equity,UK,T+1,Low,Suren
1100,14092,USD,Bond,USA,T+2,Low,Arun
1101,28894,USD,Derivative,Germany,T+2,Low,Karthik
1102,38125,INR,Equity,USA,T+1,Low,Pradeep
1103,11781,EUR,Equity,Germany,T+1,High,Bharath
1104,6283,INR,Bond,UK,T+1,Medium,Manoj
1105,46003,USD,ETF,UK,T+2,Low,Vignesh
1106,10926,INR,Bond,Germany,T+3,Medium,Revathi
1107,13526,EUR,Derivative,France,T+1,High,Gayathri
1108,44140,USD,Bond,India,T+2,Low,Sneha
1109,48374,USD,Derivative,France,T+3,High,Gayathri
1110,14483,USD,Derivative,France,T+3,Medium,Gayathri
1111,16982,INR,Bond,Germany,T+1,Medium,Revathi
1112,36346,INR,ETF,Germany,T+1,Low,Priya
