TradeID,Amount,Currency,Product,Country,SettlementType,Priority,Owner
1001,22409,0,2,0,2,1,9
1002,22347,2,2,0,0,2,9
1003,37141,0,0,1,0,1,16
1004,26302,2,3,1,2,1,2
1005,38805,2,2,4,2,0,6
1006,15067,0,3,1,0,0,2
1007,24351,2,0,3,2,1,10
1008,8950,1,0,1,2,1,16
1009,43818,2,3,0,2,1,12
1010,47219,3,3,2,2,0,11
1011,23849,1,1,3,2,1,8
1012,47995,1,2,3,2,0,19
1013,22321,0,1,2,0,1,0
1014,18565,2,0,4,2,1,1
1015,45478,1,2,1,1,0,14
1016,47046,0,1,1,0,0,7
1017,49397,1,2,3,2,1,19
1018,31770,2,0,2,1,0,17
1019,37789,0,0,0,0,1,4
1020,7626,0,0,2,0,0,17
1021,49658,3,2,3,1,1,19
1022,33641,1,1,3,0,2,8
1023,46298,1,3,0,0,0,12
1024,11124,1,2,1,1,0,14
1025,25425,1,2,3,1,0,19
1026,25358,0,0,3,1,2,10
1027,27757,2,2,4,2,0,6
1028,37293,1,3,2,1,2,11
1029,47520,0,1,0,1,2,5
1030,12201,3,0,2,0,1,17
1031,19348,2,2,3,2,1,19
1032,24455,2,3,3,0,1,18
1033,29350,0,0,4,2,0,1
1034,31996,2,3,2,0,1,11
1035,39922,1,0,2,0,0,17
1036,26626,2,3,1,1,0,2
1037,42968,3,2,0,1,1,9
1038,43302,0,0,1,2,1,16
1039,23900,3,0,2,0,1,17
1040,29485,2,2,4,0,1,6
1041,43806,0,2,0,2,2,9
1042,32359,3,3,0,0,2,12
1043,18866,1,3,3,1,2,18
1044,18313,3,3,1,2,2,2
1045,46783,3,0,2,2,1,17
1046,34474,1,2,3,0,1,19
1047,42548,3,1,4,0,1,3
1048,36945,0,1,3,1,2,8
1049,25989,0,2,1,0,2,14
1050,43203,3,2,2,1,1,15
1051,22626,2,2,4,2,1,6
1052,42890,2,2,1,1,2,14
1053,46554,0,1,3,0,1,8
1054,9287,3,2,1,1,0,14
1055,24281,2,0,4,0,2,1
1056,45652,3,2,1,0,0,14
1057,38463,3,1,0,0,1,5
1058,30487,0,1,1,2,2,7
1059,29126,1,0,1,0,0,16
1060,8308,0,2,3,0,1,19
1061,35023,0,2,1,2,2,14
1062,12200,3,0,3,1,2,10
1063,33321,0,0,2,1,2,17
1064,30035,3,1,4,1,0,3
1065,27834,2,3,1,2,1,2
1066,28165,3,1,4,1,0,3
1067,30340,3,3,0,2,1,12
1068,16599,2,2,3,1,0,19
1069,18365,1,0,1,1,0,16
1070,16899,0,0,4,0,0,1
1071,36207,0,1,4,2,0,3
1072,40027,3,3,1,2,0,2
1073,31654,2,1,2,0,1,0
1074,25008,1,3,3,1,2,18
1075,27962,2,2,3,1,1,19
1076,33142,1,3,4,0,1,13
1077,24394,3,3,0,2,1,12
1078,11106,2,0,0,1,1,4
1079,33409,0,2,3,2,0,19
1080,31805,2,2,3,2,0,19
1081,16308,3,0,2,1,0,17
1082,22155,2,2,4,0,1,6
1083,33135,3,2,1,2,1,14
1084,40569,0,0,2,0,1,17
1085,9364,3,3,1,2,2,2
